"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"P001","Internet i comunicacions","WiFi BCN","428088.274","4579745.299","427996.363","4579544.388","2.139097","41.36419","Centre Cívic La Cadena","03","13","Sants-Montjuïc","la Marina de Port","C Mare de Déu de Port, 397","933313498"
"P001","Internet i comunicacions","WiFi BCN","430916.107","4582464.749","430824.171","4582263.812","2.172593","41.388931","Punt de connexió Barcelona WiFi a la cruïlla del carrer Pau Claris amb la Ronda de Sant Pere","02","07","Eixample","la Dreta de l'Eixample","Pl Urquinaona, 1",""
"P001","Internet i comunicacions","WiFi BCN","429277.971","4584080.619","429186.051","4583879.668","2.152813","41.403342","Espai Jove La Fontana","06","31","Gràcia","la Vila de Gràcia","C Gran de Gràcia, 190*192","933681004"
"P001","Internet i comunicacions","WiFi BCN","430584.808","4587442.081","430492.876","4587241.098","2.168059","41.433731","Casal de Barri La Cosa Nostra","08","47","Nou Barris","Can Peguera","C Biure, 1","934201843"
"P001","Internet i comunicacions","WiFi BCN","429018.042","4582860.85","428926.124","4582659.91","2.149847","41.392333","Punt de connexió Barcelona WiFi a la cruïlla del carrer Casanova amb carrer Londres","02","08","Eixample","l'Antiga Esquerra de l'Eixample","C Casanova, 226",""
"P001","Internet i comunicacions","WiFi BCN","430363.212","4583090.419","430271.281","4582889.477","2.165909","41.394518","Jardins de la Casa Elizalde","02","07","Eixample","la Dreta de l'Eixample","C València, 302",""
"P001","Internet i comunicacions","WiFi BCN","431278.614","4582980.045","431186.675","4582779.104","2.17687","41.393603","Punt de connexió Barcelona WiFi a la cruïlla del Pg de Sant Joan amb el carrer Casp","02","07","Eixample","la Dreta de l'Eixample","Pg Sant Joan, 37",""
"P001","Internet i comunicacions","WiFi BCN","429739.571","4585412.959","429647.647","4585211.995","2.15818","41.415382","Centre Esportiu Municipal Can Toda","06","30","Gràcia","la Salut","C Ramiro de Maeztu, 25*27","932134344"
"P001","Internet i comunicacions","WiFi BCN","427440.86","4580543.457","427348.955","4580342.539","2.131261","41.371321","Oficina de l'Habitatge de Sants-Montjuïc","03","17","Sants-Montjuïc","Sants - Badal","C Antoni de Capmany, 23","010"
"P001","Internet i comunicacions","WiFi BCN","433451.16","4582644.526","433359.201","4582443.587","2.202892","41.390764","Platja de la Nova Icària","10","67","Sant Martí","la Vila Olímpica del Poblenou","Pg Marítim de Nova Icària, 60",""
"P001","Internet i comunicacions","WiFi BCN","424706.127","4585883.903","424614.249","4585682.937","2.097899","41.419167","Centre Cívic l'Elèctric","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","Ctra Vallvidrera Planes, 6.5 (km)","932054009"
"P001","Internet i comunicacions","WiFi BCN","428615.885","4583684.498","428523.971","4583483.551","2.14494","41.399716","Punt de connexió Barcelona WiFi a la cruïlla dels carrers Aribau amb carrer Via Augusta","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","C Aribau, 281",""
"P001","Internet i comunicacions","WiFi BCN","430049.21","4588103.04","429957.284","4587902.051","2.161573","41.439638","Punt de connexió Barcelona WiFi a la cruïlla del Passeig de la Vall Hebron i  Pl  Karl Marx","07","43","Horta-Guinardó","Horta","C Mont ral, 63",""
"P001","Internet i comunicacions","WiFi BCN","430926.443","4584765.488","430834.508","4584564.53","2.172454","41.409654","Punt de connexió Barcelona WiFi a la cruïlla del carrer Sant Antoni Maria Claret amb carrer Padilla","02","06","Eixample","la Sagrada Família","C Sant Antoni Maria Claret, 180",""
"P001","Internet i comunicacions","WiFi BCN","429842.715","4585516.592","429750.79","4585315.627","2.159402","41.416325","Local Social Raimon Casellas","07","34","Horta-Guinardó","Can Baró","C José Millán González, 17","932850619"
"P001","Internet i comunicacions","WiFi BCN","430683.422","4585335.944","430591.489","4585134.981","2.169481","41.414771","Punt de connexió Barcelona WiFi a la cruïlla del carrer Cartagena amb carrer de Josep Ciurana","07","33","Horta-Guinardó","el Baix Guinardó","C Cartagena, 393",""
"P001","Internet i comunicacions","WiFi BCN","429436.61","4583990.519","429344.688","4583789.569","2.154721","41.402544","Centre Artesà Tradicionàrius","06","31","Gràcia","la Vila de Gràcia","Trvs Sant Antoni, 6*8","932184485"
"P001","Internet i comunicacions","WiFi BCN","431756.946","4583446.56","431665.002","4583245.614","2.182539","41.397846","Punt de connexió Barcelona WiFi a la cruïlla del carrer Marina amb Casp","02","05","Eixample","el Fort Pienc","C Marina, 151",""
"P001","Internet i comunicacions","WiFi BCN","427491.914","4583477.77","427400.01","4583276.825","2.13152","41.397753","Punt de connexió Barcelona WiFi a la cruïlla del carrer Rosari amb Via Augusta","05","24","Sarrià-Sant Gervasi","les Tres Torres","C Rosari, 44",""
"P001","Internet i comunicacions","WiFi BCN","429549.295","4581895.283","429457.371","4581694.352","2.156313","41.383683","Punt de connexió Barcelona WiFi a la cruïlla del carrer Comte d'Urgell amb c.  del Consell de Cent","02","09","Eixample","la Nova Esquerra de l'Eixample","C Comte d'Urgell, 93",""
"P001","Internet i comunicacions","WiFi BCN","433206.206","4584426.45","433114.249","4584225.495","2.199765","41.406793","Punt de connexió Barcelona WiFi al Parc Central del Poblenou (Av Diagonal amb Pere IV)","10","71","Sant Martí","Provençals del Poblenou","Av Diagonal, 130",""
"P001","Internet i comunicacions","WiFi BCN","428241.701","4581220.459","428149.789","4581019.535","2.140756","41.37749","Punt Multimèdia de Sants - Montjuïc *Casa del Mig","03","18","Sants-Montjuïc","Sants","C Muntadas, 1*5","932914262"
"P001","Internet i comunicacions","WiFi BCN","430002.355","4583639.38","429910.428","4583438.433","2.161529","41.399431","Centre Esportiu Municipal Perill","06","31","Gràcia","la Vila de Gràcia","C Perill, 16*22","932081750"
"P001","Internet i comunicacions","WiFi BCN","429922.139","4581902.788","429830.212","4581701.857","2.160771","41.383784","Punt de connexió Barcelona WiFi a la cruïlla del c. Casanova amb la Gran Via de les Corts Catalanes","02","08","Eixample","l'Antiga Esquerra de l'Eixample","G.V. Corts Catalanes, 555",""
"P001","Internet i comunicacions","WiFi BCN","429615.943","4580435.078","429524.018","4580234.161","2.15728","41.370538","Mercat de les Flors Centre de les Arts de Moviment","03","11","Sants-Montjuïc","el Poble-sec","Lleida, 59","934261875"
"P001","Internet i comunicacions","WiFi BCN","428865.048","4582570.031","428773.131","4582369.094","2.148051","41.3897","Punt de connexió Barcelona WiFi a la cruïlla dels carrers Comte d'Urgell amb París","02","09","Eixample","la Nova Esquerra de l'Eixample","C París, 113",""
"P001","Internet i comunicacions","WiFi BCN","431594.334","4581727.355","431502.391","4581526.425","2.180788","41.382348","Punt de connexió Barcelona WiFi a la cruïlla de la Via Laietana amb el carrer Àngel Baixeres","01","02","Ciutat Vella","el Barri Gòtic","Via Laietana, 3",""
"P001","Internet i comunicacions","WiFi BCN","428531.739","4583518.684","428439.825","4583317.738","2.143953","41.398215","Punt de connexió Barcelona WiFi a la cruïlla del carrer Muntaner amb carrer Rector Ubach","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","C Muntaner, 351",""
"P001","Internet i comunicacions","WiFi BCN","430360.8","4588285.088","430268.871","4588084.098","2.165281","41.441304","Punt de connexió Barcelona WiFi a la cruïlla Federico García Lorca amb el carrer Via Favència","08","49","Nou Barris","Canyelles","Via Favència, 39",""
"P001","Internet i comunicacions","WiFi BCN","430517.174","4584803.728","430425.242","4584602.77","2.167553","41.409963","Casal de Gent Gran del Baix Guinardó","07","33","Horta-Guinardó","el Baix Guinardó","C Marina, 380","934502747"
"P001","Internet i comunicacions","WiFi BCN","431025.47","4587338.98","430933.534","4587137.998","2.173345","41.432841","Casal de Gent Gran Turó de la Peira","08","46","Nou Barris","el Turó de la Peira","C Doctor Pi i Molist, 39*63*LI","934081092"
"P001","Internet i comunicacions","WiFi BCN","431150.173","4588817.478","431058.237","4588616.483","2.174669","41.446167","Casal de Gent Gran Les Roquetes","08","50","Nou Barris","les Roquetes","Pl Titellaires, 1","933534892"
"P001","Internet i comunicacions","WiFi BCN","430718.413","4582096.839","430626.479","4581895.906","2.170271","41.3856","Punt de connexió Barcelona WiFi a la cruïlla de Rambla de Catalunya amb Pelai","01","02","Ciutat Vella","el Barri Gòtic","Pl Catalunya, 23",""
"P001","Internet i comunicacions","WiFi BCN","434867.792","4584908.449","434775.82","4584707.489","2.219591","41.411271","Punt de connexió Barcelona WiFi a la cruïlla de la Rambla Prim amb el Passeig Taulat","10","70","Sant Martí","el Besòs i el Maresme","Pl Llevant, 1",""
"P001","Internet i comunicacions","WiFi BCN","430076.379","4585060.047","429984.451","4584859.087","2.16225","41.412233","Centre Esportiu Municipal Sardenya","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","C Sardenya, 549*553","932100766"
"P001","Internet i comunicacions","WiFi BCN","433494.878","4583812.492","433402.919","4583611.542","2.203286","41.401287","Punt de connexió Barcelona WiFi a la cruïlla del carrer Marià Aguiló amb Llull","10","68","Sant Martí","el Poblenou","C Marià Aguiló, 83",""
"P001","Internet i comunicacions","WiFi BCN","431761.856","4582157.272","431669.912","4581956.338","2.182743","41.386234","Punt de connexió Barcelona WiFi a la cruïlla del carrer Comerç amb Fusina","01","04","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","C Comerç, 25",""
"P001","Internet i comunicacions","WiFi BCN","431189.212","4588847.898","431097.275","4588646.902","2.175132","41.446445","Centre Ton i Guida","08","50","Nou Barris","les Roquetes","C Romaní, 6","933548721"
"P001","Internet i comunicacions","WiFi BCN","431251.784","4584896.359","431159.846","4584695.4","2.176331","41.41086","Punt de connexió Barcelona WiFi a la cruïlla del carrer Indústria amb carrer del Dos de Maig","02","06","Eixample","la Sagrada Família","C Indústria, 196",""
"P001","Internet i comunicacions","WiFi BCN","431249.799","4584382.4","431157.86","4584181.446","2.176366","41.406231","Punt de connexió Barcelona WiFi a la cruïlla del carrer Padilla amb carrer Provença","02","06","Eixample","la Sagrada Família","C Padilla, 265",""
"P001","Internet i comunicacions","WiFi BCN","430523.096","4580901.113","430431.163","4580700.191","2.168072","41.374814","Punt de connexió Barcelona WiFi a l'Avinguda Paral·lel 75","03","11","Sants-Montjuïc","el Poble-sec","Av Paral.lel, 75",""
"P001","Internet i comunicacions","WiFi BCN","434472.604","4584137.882","434380.636","4583936.929","2.214947","41.404298","Punt de connexió Barcelona WiFi a la cruïlla del carrer Selva de Mar amb el Passeig Garcia Faria","10","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","C Selva de Mar, 1",""
"P001","Internet i comunicacions","WiFi BCN","430709.505","4580922.146","430617.57","4580721.224","2.170299","41.37502","Punt de connexió Barcelona WiFi a la cruïlla de l'Avinguda del Paral·lel amb Nou de la Rambla","03","11","Sants-Montjuïc","el Poble-sec","Av Paral.lel, 57",""
"P001","Internet i comunicacions","WiFi BCN","434188.301","4584232.61","434096.335","4584031.656","2.211535","41.405128","Punt de connexió Barcelona WiFi a la cruïlla del carrer Provençals amb Passeig del Taulat","10","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","C Provençals, 11",""
"P001","Internet i comunicacions","WiFi BCN","432226.615","4588456.629","432134.669","4588255.637","2.187594","41.443009","Casal de Gent Gran Mossèn Clapés","09","60","Sant Andreu","Sant Andreu","C Gran de Sant Andreu, 467","933466372"
"P001","Internet i comunicacions","WiFi BCN","431849.885","4587747.747","431757.942","4587546.761","2.183165","41.436593","Centre Esportiu Municipal Can Dragó","08","45","Nou Barris","Porta","C Rosselló i Porcel, 7*11",""
"P001","Internet i comunicacions","WiFi BCN","429511.54","4583692.988","429419.617","4583492.04","2.155652","41.399871","Punt de connexió Barcelona WiFi a la cruïlla del carrer carrer Gran de Gràcia amb Trav. de Gràcia","06","31","Gràcia","la Vila de Gràcia","C Gran de Gràcia, 72",""
"P001","Internet i comunicacions","WiFi BCN","428697.268","4581664.606","428605.352","4581463.677","2.146151","41.381531","Punt de connexió Barcelona WiFi a la cruïlla del carrer Vilamarí amb l'Avinguda de Roma","02","09","Eixample","la Nova Esquerra de l'Eixample","C Vilamarí, 89",""
"P001","Internet i comunicacions","WiFi BCN","434613.647","4584559.45","434521.677","4584358.493","2.216588","41.408107","Punt de connexió Barcelona WiFi a la cruïlla de Josep Pla amb Passeig Taulat","10","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","Pg Taulat, 283",""
"P001","Internet i comunicacions","WiFi BCN","430053.609","4585100.483","429961.682","4584899.522","2.161973","41.412595","Punt de connexió Barcelona WiFi a la cruïlla de la Ronda del Guinardó amb Sardenya","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","Rda Guinardó, 10",""
"P001","Internet i comunicacions","WiFi BCN","430761.3","4586061.988","430669.366","4585861.018","2.17033","41.421317","Espai de Gent Gran Parc del Guinardó","07","35","Horta-Guinardó","el Guinardó","C Garriga i Roca, 62*64","934357006"
